Timestamp,Name,Action,Status,Image_Path,Confidence
2025-12-10 10:55:37,Krunal,Standing,ALERT CONTINUED,N/A,0.58
2025-12-10 10:55:39,Krunal,Standing,ALERT CONTINUED,N/A,0.58
2025-12-10 10:55:42,Krunal,'Hands Up' required,PERFORMED,N/A,1.00
2025-12-10 10:56:56,Rudresh bhai,Standing,ALERT CONTINUED,alert_snapshots\alert_Rudresh_bhai_20251210_105656.jpg,0.51
2025-12-10 10:56:59,Rudresh bhai,MISSING,ALERT TRIGGERED - TARGET MISSING,N/A,0.51
2025-12-10 10:57:02,Rudresh bhai,'Hands Up' required,TIMEOUT,alert_snapshots\alert_Rudresh_bhai_20251210_105702.jpg,0.85
2025-12-10 10:57:02,Rudresh bhai,Standing,ALERT CONTINUED,N/A,0.48
2025-12-10 10:57:06,Rudresh bhai,Standing,ALERT CONTINUED,N/A,0.48
2025-12-10 10:57:09,Rudresh bhai,Standing,ALERT CONTINUED,N/A,0.48
2025-12-10 10:57:10,Rudresh bhai,'Hands Up' required,PERFORMED,N/A,1.00
2025-12-10 10:57:42,Krunal,'Hands Up' required,TIMEOUT,alert_snapshots\alert_Krunal_20251210_105742.jpg,1.00
2025-12-10 10:57:42,Krunal,Standing,ALERT CONTINUED,N/A,0.58
2025-12-10 10:57:45,Krunal,Standing,ALERT CONTINUED,N/A,0.58
2025-12-10 10:57:48,Krunal,'Hands Up' required,PERFORMED,N/A,1.00
2025-12-10 10:59:11,Rudresh bhai,'Hands Up' required,TIMEOUT,alert_snapshots\alert_Rudresh_bhai_20251210_105911.jpg,1.00
2025-12-10 10:59:11,Rudresh bhai,Standing,ALERT TRIGGERED,N/A,0.51
2025-12-10 10:59:15,Rudresh bhai,MISSING,ALERT TRIGGERED - TARGET MISSING,N/A,0.51
2025-12-10 10:59:18,Rudresh bhai,Standing,ALERT CONTINUED,N/A,0.53
2025-12-10 10:59:19,Rudresh bhai,'Hands Up' required,PERFORMED,N/A,0.97
2025-12-10 10:59:49,Krunal,'Hands Up' required,TIMEOUT,alert_snapshots\alert_Krunal_20251210_105949.jpg,1.00
2025-12-10 10:59:49,Krunal,Standing,ALERT CONTINUED,N/A,0.58
2025-12-10 10:59:52,Krunal,Standing,ALERT CONTINUED,N/A,0.58
2025-12-10 10:59:55,Krunal,Standing,ALERT CONTINUED,N/A,0.58
2025-12-10 10:59:58,Krunal,Hands Crossed,ALERT CONTINUED,N/A,0.58
2025-12-10 10:59:58,Krunal,'Hands Up' required,PERFORMED,N/A,1.00
2025-12-10 11:01:20,Rudresh bhai,'Hands Up' required,TIMEOUT,alert_snapshots\alert_Rudresh_bhai_20251210_110120.jpg,0.97
2025-12-10 11:01:20,Rudresh bhai,Standing,ALERT CONTINUED,N/A,0.61
2025-12-10 11:01:23,Rudresh bhai,Standing,ALERT CONTINUED,N/A,0.61
2025-12-10 11:01:26,Rudresh bhai,Standing,ALERT CONTINUED,N/A,0.61
2025-12-10 11:01:29,Rudresh bhai,Standing,ALERT CONTINUED,N/A,0.61
2025-12-10 11:01:31,Rudresh bhai,Standing,ALERT CONTINUED,N/A,0.61
2025-12-10 11:01:34,Rudresh bhai,Standing,ALERT CONTINUED,N/A,0.61
2025-12-10 11:01:37,Rudresh bhai,Standing,ALERT CONTINUED,N/A,0.61
2025-12-10 11:01:40,Rudresh bhai,Standing,ALERT CONTINUED,N/A,0.61
2025-12-10 11:01:42,Rudresh bhai,Standing,ALERT CONTINUED,N/A,0.61
2025-12-10 11:01:45,Rudresh bhai,Standing,ALERT CONTINUED,N/A,0.61
2025-12-10 11:01:48,Rudresh bhai,Standing,ALERT CONTINUED,N/A,0.61
2025-12-10 11:01:51,Rudresh bhai,Standing,ALERT CONTINUED,N/A,0.61
2025-12-10 11:01:54,Rudresh bhai,Standing,ALERT CONTINUED,N/A,0.61
2025-12-10 11:01:56,Rudresh bhai,Standing,ALERT CONTINUED,N/A,0.61
2025-12-10 11:01:59,Krunal,'Hands Up' required,TIMEOUT,alert_snapshots\alert_Krunal_20251210_110159.jpg,1.00
2025-12-10 11:01:59,Krunal,Standing,ALERT CONTINUED,N/A,0.45
2025-12-10 11:02:00,Rudresh bhai,Standing,ALERT CONTINUED,N/A,0.61
2025-12-10 11:02:01,Krunal,Standing,ALERT CONTINUED,N/A,0.45
2025-12-10 11:02:02,Rudresh bhai,Standing,ALERT CONTINUED,N/A,0.61
2025-12-10 11:02:04,Krunal,Standing,ALERT CONTINUED,N/A,0.45
2025-12-10 11:02:05,Rudresh bhai,Standing,ALERT CONTINUED,N/A,0.61
2025-12-10 11:02:06,Krunal,Standing,ALERT CONTINUED,N/A,0.45
2025-12-10 11:02:07,Rudresh bhai,Standing,ALERT CONTINUED,N/A,0.61
2025-12-10 11:02:09,Krunal,Standing,ALERT CONTINUED,N/A,0.45
2025-12-10 11:02:10,Rudresh bhai,Standing,ALERT CONTINUED,N/A,0.61
2025-12-10 11:02:12,Krunal,Standing,ALERT CONTINUED,N/A,0.45
